;Invoice ID;Branch;City;Costumer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
160;894-41-5205;C;Curitiba;Membro;Feminino;Alimentos e bebidas;286,30;5;14,32;1445,82;01/02/2023;19:39;cartão de crédito;1431,50;0,00;1431,50;6,2
161;275-28-0149;A;Porto Alegre;Normal;Feminino;Saúde e beleza;669,98;3;33,50;2043,44;06/10/2023;16:21;pix;2009,94;0,00;2009,94;6,3
162;101-17-6199;A;Florianopolis;Normal;Masculino;Saúde e beleza;365,71;6;18,29;2212,55;09/16/2023;19:44;dinheiro;2194,26;0,00;2194,26;9,2
163;423-80-0988;C;Porto Alegre;Membro;Masculino;Casa e estilo de vida;371,56;10;18,58;3734,18;09/13/2023;19:42;pix;3715,60;0,00;3715,60;8,3
164;548-46-9322;B;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;768,29;6;38,41;4648,15;06/26/2023;15:24;dinheiro;4609,74;0,00;4609,74;5,4
165;505-02-0892;B;Curitiba;Normal;Masculino;Acessórios eletrônicos;869,65;1;43,48;913,13;02/26/2023;14:12;pix;869,65;0,00;869,65;9,4
166;234-65-2137;C;Porto Alegre;Normal;Masculino;Casa e estilo de vida;860,11;7;43,01;6063,78;02/13/2023;13:32;cartão de crédito;6020,77;0,00;6020,77;5,0
167;687-47-8271;A;Porto Alegre;Normal;Feminino;Casa e estilo de vida;645,97;10;32,30;6492,00;08/22/2023;16:20;pix;6459,70;0,00;6459,70;8,4
168;796-32-9050;A;Florianopolis;Membro;Masculino;Saúde e beleza;583,90;10;29,20;5868,20;07/24/2023;16:31;pix;5839,00;0,00;5839,00;7,1
169;105-31-1824;A;Porto Alegre;Membro;Masculino;Saúde e beleza;316,35;4;15,82;1281,22;08/12/2023;15:10;cartão de crédito;1265,40;0,00;1265,40;7,8
170;249-42-3782;A;Curitiba;Membro;Feminino;Esportes e viagens;510,15;8;25,51;4106,71;06/07/2023;11:36;pix;4081,20;0,00;4081,20;7,9
171;316-55-4634;B;Porto Alegre;Normal;Masculino;Saúde e beleza;942,97;6;47,15;5704,97;04/12/2023;12:45;pix;5657,82;0,00;5657,82;6,5
172;733-33-4967;C;Porto Alegre;Membro;Masculino;Alimentos e bebidas;802,45;5;40,12;4052,37;12/18/2023;19:17;pix;4012,25;0,00;4012,25;9,9
173;608-27-6295;B;Florianopolis;Membro;Masculino;Casa e estilo de vida;388,33;4;19,42;1572,74;12/07/2023;17:34;pix;1553,32;0,00;1553,32;7,0
174;414-12-7047;B;Florianopolis;Normal;Masculino;Acessórios eletrônicos;952,67;1;47,63;1000,30;06/08/2023;12:04;cartão de crédito;952,67;0,00;952,67;8,6
175;827-26-2100;A;Curitiba;Normal;Feminino;Acessórios eletrônicos;12,84;6;0,64;77,68;09/23/2023;16:21;cartão de crédito;77,04;0,00;77,04;7,7
176;175-54-2529;A;Florianopolis;Normal;Masculino;Alimentos e bebidas;18,01;8;0,90;144,98;03/15/2023;17:01;pix;144,08;0,00;144,08;6,1
177;139-52-2867;C;Curitiba;Membro;Masculino;Casa e estilo de vida;894,89;6;44,74;5414,08;09/22/2023;10:50;cartão de crédito;5369,34;0,00;5369,34;7,9
178;407-63-8975;A;Porto Alegre;Membro;Masculino;Saúde e beleza;455,71;5;22,79;2301,34;12/18/2023;19:16;cartão de crédito;2278,55;0,00;2278,55;9,2
179;342-65-4817;C;Curitiba;Normal;Feminino;Alimentos e bebidas;377,52;9;18,88;3416,56;04/14/2023;16:47;pix;3397,68;0,00;3397,68;6,2
180;130-98-8941;C;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;983,77;1;49,19;1032,96;10/10/2023;10:00;pix;983,77;0,00;983,77;7,1
181;434-83-9547;C;Florianopolis;Membro;Feminino;Casa e estilo de vida;655,96;3;32,80;2000,68;11/29/2023;11:51;dinheiro;1967,88;0,00;1967,88;8,1
182;851-28-6367;A;Florianopolis;Normal;Masculino;Acessórios eletrônicos;337,23;5;16,86;1703,01;05/16/2023;10:55;dinheiro;1686,15;0,00;1686,15;9,7
183;824-88-3614;C;Curitiba;Membro;Masculino;Casa e estilo de vida;116,08;2;5,80;237,96;07/01/2023;15:00;cartão de crédito;232,16;0,00;232,16;5,1
184;586-25-0848;A;Porto Alegre;Membro;Masculino;Acessórios eletrônicos;285,18;9;14,26;2580,88;12/04/2023;11:19;dinheiro;2566,62;0,00;2566,62;6,9
185;895-66-0685;B;Curitiba;Normal;Masculino;Acessórios eletrônicos;67,98;1;3,40;71,38;06/22/2023;19:46;cartão de crédito;67,98;0,00;67,98;9,7
186;305-14-0245;B;Porto Alegre;Membro;Feminino;Esportes e viagens;728,26;6;36,41;4405,97;09/10/2023;19:00;pix;4369,56;0,00;4369,56;8,8
187;732-04-5373;B;Porto Alegre;Membro;Masculino;Acessórios eletrônicos;61,92;8;3,10;498,46;10/19/2023;10:53;dinheiro;495,36;0,00;495,36;7,5
188;400-60-7251;A;Porto Alegre;Membro;Masculino;Esportes e viagens;342,41;4;17,12;1386,76;10/02/2023;12:50;cartão de crédito;1369,64;0,00;1369,64;5,8
189;593-65-1552;C;Porto Alegre;Normal;Masculino;Alimentos e bebidas;235,32;2;11,77;482,41;03/15/2023;20:50;pix;470,64;0,00;470,64;7,8
190;284-34-9626;B;Porto Alegre;Membro;Masculino;Esportes e viagens;513,93;2;25,70;1053,56;04/10/2023;10:39;dinheiro;1027,86;0,00;1027,86;5,6
191;437-58-8131;B;Florianopolis;Normal;Feminino;Casa e estilo de vida;988,29;4;49,41;4002,57;04/05/2023;13:41;cartão de crédito;3953,16;0,00;3953,16;6,3
192;286-43-6208;C;Curitiba;Normal;Feminino;Esportes e viagens;473,68;3;23,68;1444,72;03/25/2023;19:08;dinheiro;1421,04;0,00;1421,04;8,1
193;641-43-2399;B;Porto Alegre;Normal;Masculino;Casa e estilo de vida;28,91;4;1,45;117,09;02/08/2023;20:23;cartão de crédito;115,64;0,00;115,64;9,8
194;831-07-6050;A;Curitiba;Normal;Masculino;Casa e estilo de vida;892,88;3;44,64;2723,28;10/19/2023;11:30;pix;2678,64;0,00;2678,64;8,2
195;556-86-3144;C;Curitiba;Normal;Masculino;Saúde e beleza;745,78;3;37,29;2274,63;11/06/2023;19:30;dinheiro;2237,34;0,00;2237,34;8,3
196;848-24-9445;C;Porto Alegre;Membro;Masculino;Acessórios eletrônicos;349,50;10;17,48;3512,48;08/06/2023;18:03;cartão de crédito;3495,00;0,00;3495,00;5,4
197;856-22-8149;A;Curitiba;Normal;Masculino;Esportes e viagens;861,08;10;43,05;8653,85;08/10/2023;10:13;dinheiro;8610,80;0,00;8610,80;5,6
198;699-01-4164;C;Curitiba;Membro;Feminino;Alimentos e bebidas;508,34;10;25,42;5108,82;10/04/2023;19:58;pix;5083,40;0,00;5083,40;8,0
199;420-11-4919;C;Florianopolis;Normal;Feminino;Acessórios eletrônicos;823,45;5;41,17;4158,42;08/11/2023;19:57;pix;4117,25;0,00;4117,25;9,6
200;606-80-4905;C;Curitiba;Membro;Feminino;Alimentos e bebidas;609,13;5;30,46;3076,11;04/05/2023;10:01;pix;3045,65;0,00;3045,65;6,8
201;542-41-0513;B;Curitiba;Membro;Masculino;Saúde e beleza;722,81;3;36,14;2204,57;01/31/2023;11:57;dinheiro;2168,43;0,00;2168,43;9,6
202;426-39-2418;C;Florianopolis;Membro;Masculino;Acessórios eletrônicos;536,80;5;26,84;2710,84;04/07/2023;10:02;pix;2684,00;0,00;2684,00;6,5
203;875-46-5808;B;Florianopolis;Normal;Feminino;Acessórios eletrônicos;956,99;1;47,85;1004,84;05/25/2023;14:51;dinheiro;956,99;0,00;956,99;5,1
204;394-43-4238;B;Florianopolis;Normal;Feminino;Casa e estilo de vida;560,62;4;28,03;2270,51;10/11/2023;12:42;pix;2242,48;0,00;2242,48;5,4
205;749-24-1565;A;Florianopolis;Membro;Feminino;Saúde e beleza;868,45;6;43,42;5254,12;11/20/2023;12:02;cartão de crédito;5210,70;0,00;5210,70;5,2
206;672-51-8681;C;Porto Alegre;Membro;Feminino;Acessórios eletrônicos;652,17;3;32,61;1989,12;09/22/2023;18:19;dinheiro;1956,51;0,00;1956,51;6,7
207;263-87-5680;C;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;201,85;9;10,09;1826,74;09/29/2023;17:38;pix;1816,65;0,00;1816,65;6,6
208;573-58-9734;B;Porto Alegre;Normal;Masculino;Casa e estilo de vida;563,85;7;28,19;3975,14;08/10/2023;13:41;cartão de crédito;3946,95;0,00;3946,95;8,4
209;817-69-8206;B;Curitiba;Membro;Masculino;Acessórios eletrônicos;492,20;4;24,61;1993,41;03/04/2023;19:42;cartão de crédito;1968,80;0,00;1968,80;8,8
210;888-02-0338;A;Porto Alegre;Membro;Feminino;Saúde e beleza;346,99;8;17,35;2793,27;12/18/2023;20:24;pix;2775,92;0,00;2775,92;5,7
211;677-11-0152;C;Curitiba;Membro;Masculino;Casa e estilo de vida;722,31;8;36,12;5814,60;08/24/2023;18:08;pix;5778,48;0,00;5778,48;6,2
212;142-63-6033;B;Florianopolis;Normal;Masculino;Acessórios eletrônicos;545,72;7;27,29;3847,33;08/19/2023;19:17;cartão de crédito;3820,04;0,00;3820,04;5,1
213;656-16-1063;B;Florianopolis;Normal;Feminino;Casa e estilo de vida;223,52;8;11,18;1799,34;06/21/2023;13:24;cartão de crédito;1788,16;0,00;1788,16;8,8
214;891-58-8335;B;Florianopolis;Membro;Masculino;Saúde e beleza;890,20;9;44,51;8056,31;02/05/2023;15:53;cartão de crédito;8011,80;0,00;8011,80;8,2
215;802-43-8934;A;Florianopolis;Normal;Feminino;Acessórios eletrônicos;398,51;5;19,93;2012,48;01/12/2023;15:05;dinheiro;1992,55;0,00;1992,55;7,9
216;560-30-5617;B;Porto Alegre;Membro;Masculino;Saúde e beleza;955,12;5;47,76;4823,36;10/26/2023;18:27;cartão de crédito;4775,60;0,00;4775,60;6,3
217;319-74-2561;A;Porto Alegre;Normal;Feminino;Acessórios eletrônicos;700,84;1;35,04;735,88;09/25/2023;16:55;cartão de crédito;700,84;0,00;700,84;6,8
218;549-03-9315;B;Curitiba;Membro;Masculino;Acessórios eletrônicos;646,22;9;32,31;5848,29;05/13/2023;12:58;pix;5815,98;0,00;5815,98;8,7
219;790-29-1172;B;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;290,30;3;14,52;885,42;07/28/2023;18:59;dinheiro;870,90;0,00;870,90;8,3
220;239-36-3640;B;Curitiba;Normal;Masculino;Saúde e beleza;982,45;10;49,12;9873,62;11/19/2023;13:44;cartão de crédito;9824,50;0,00;9824,50;6,6
221;468-01-2051;B;Porto Alegre;Membro;Feminino;Casa e estilo de vida;800,74;8;40,04;6445,96;12/12/2023;13:46;cartão de crédito;6405,92;0,00;6405,92;8,7
222;389-25-3394;C;Porto Alegre;Membro;Feminino;Saúde e beleza;144,42;7;7,22;1018,16;08/28/2023;18:06;pix;1010,94;0,00;1010,94;6,4
223;279-62-1445;C;Curitiba;Membro;Feminino;Casa e estilo de vida;14,26;10;0,71;143,31;02/01/2023;12:38;dinheiro;142,60;0,00;142,60;9,6
224;213-72-6612;A;Porto Alegre;Normal;Feminino;Saúde e beleza;185,91;8;9,30;1496,58;02/17/2023;15:56;dinheiro;1487,28;0,00;1487,28;9,1
225;746-68-6593;C;Porto Alegre;Membro;Masculino;Saúde e beleza;602,99;6;30,15;3648,09;05/18/2023;14:29;pix;3617,94;0,00;3617,94;6,8
226;836-82-5858;B;Florianopolis;Normal;Masculino;Saúde e beleza;264,71;5;13,24;1336,79;06/06/2023;19:14;dinheiro;1323,55;0,00;1323,55;7,8
227;583-72-1480;C;Porto Alegre;Membro;Masculino;Acessórios eletrônicos;355,42;1;17,77;373,19;05/21/2023;16:24;cartão de crédito;355,42;0,00;355,42;8,3
228;466-61-5506;B;Porto Alegre;Membro;Masculino;Esportes e viagens;945,07;6;47,25;5717,67;06/16/2023;10:52;pix;5670,42;0,00;5670,42;6,1
229;721-86-6247;A;Curitiba;Normal;Masculino;Acessórios eletrônicos;118,67;2;5,93;243,27;10/24/2023;12:55;pix;237,34;0,00;237,34;8,4
230;289-65-5721;B;Florianopolis;Membro;Feminino;Saúde e beleza;458,40;2;22,92;939,72;03/19/2023;19:28;cartão de crédito;916,80;0,00;916,80;7,7
231;545-46-3100;B;Curitiba;Membro;Feminino;Saúde e beleza;592,56;3;29,63;1807,31;03/23/2023;13:52;pix;1777,68;0,00;1777,68;7,9
232;418-02-5978;B;Porto Alegre;Normal;Masculino;Casa e estilo de vida;899,92;5;45,00;4544,60;12/17/2023;10:54;dinheiro;4499,60;0,00;4499,60;8,7
233;269-04-5750;B;Curitiba;Membro;Feminino;Alimentos e bebidas;204,20;5;10,21;1031,21;02/19/2023;18:31;cartão de crédito;1021,00;0,00;1021,00;9,9
234;157-13-5295;A;Florianopolis;Normal;Feminino;Esportes e viagens;374,22;8;18,71;3012,47;12/30/2023;18:24;dinheiro;2993,76;0,00;2993,76;8,7
235;645-78-8093;A;Florianopolis;Membro;Feminino;Acessórios eletrônicos;506,03;4;25,30;2049,42;09/21/2023;18:09;dinheiro;2024,12;0,00;2024,12;9,1
236;211-30-9270;C;Porto Alegre;Membro;Masculino;Casa e estilo de vida;796,17;3;39,81;2428,32;10/02/2023;15:16;pix;2388,51;0,00;2388,51;6,8
237;755-12-3214;C;Curitiba;Membro;Masculino;Acessórios eletrônicos;110,51;6;5,53;668,59;11/15/2023;17:07;cartão de crédito;663,06;0,00;663,06;7,2
238;346-84-3103;B;Florianopolis;Normal;Masculino;Esportes e viagens;363,71;7;18,19;2564,16;11/04/2023;19:26;pix;2545,97;0,00;2545,97;6,3
239;478-06-7835;A;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;827,77;1;41,39;869,16;05/24/2023;11:20;dinheiro;827,77;0,00;827,77;9,9
240;540-11-4336;A;Porto Alegre;Membro;Masculino;Saúde e beleza;77,71;8;3,89;625,57;12/22/2023;16:49;cartão de crédito;621,68;0,00;621,68;9,1
241;448-81-5016;A;Curitiba;Normal;Feminino;Esportes e viagens;419,86;2;20,99;860,71;08/26/2023;12:01;cartão de crédito;839,72;0,00;839,72;8,7
242;142-72-4741;C;Curitiba;Normal;Masculino;Alimentos e bebidas;397,21;7;19,86;2800,33;01/03/2023;18:37;cartão de crédito;2780,47;0,00;2780,47;5,9
243;217-58-1179;A;Florianopolis;Normal;Feminino;Acessórios eletrônicos;132,39;6;6,62;800,96;01/27/2023;11:25;dinheiro;794,34;0,00;794,34;7,8
244;376-02-8238;B;Curitiba;Normal;Masculino;Casa e estilo de vida;75,91;7;3,80;535,17;05/27/2023;18:42;dinheiro;531,37;0,00;531,37;9,7
245;530-90-9855;A;Florianopolis;Membro;Feminino;Acessórios eletrônicos;27,84;3;1,39;84,91;03/10/2023;14:47;cartão de crédito;83,52;0,00;83,52;9,9
246;866-05-7563;B;Curitiba;Membro;Masculino;Acessórios eletrônicos;115,25;7;5,76;812,51;11/16/2023;19:43;cartão de crédito;806,75;0,00;806,75;9,9
247;604-70-6476;A;Florianopolis;Membro;Masculino;Alimentos e bebidas;64,20;10;3,21;645,21;07/26/2023;14:04;dinheiro;642,00;0,00;642,00;6,0
248;799-71-1548;A;Curitiba;Normal;Feminino;Acessórios eletrônicos;773,89;4;38,69;3134,25;04/24/2023;16:11;pix;3095,56;0,00;3095,56;8,2
249;785-13-7708;B;Porto Alegre;Normal;Masculino;Esportes e viagens;550,33;1;27,52;577,85;09/22/2023;19:06;dinheiro;550,33;0,00;550,33;6,3
250;845-51-0542;B;Curitiba;Membro;Feminino;Acessórios eletrônicos;550,70;2;27,54;1128,94;04/23/2023;15:34;cartão de crédito;1101,40;0,00;1101,40;8,0
251;662-47-5456;C;Curitiba;Membro;Masculino;Saúde e beleza;49,61;2;2,48;101,70;05/13/2023;19:06;pix;99,22;0,00;99,22;8,5
252;883-17-4236;C;Porto Alegre;Membro;Masculino;Saúde e beleza;509,81;2;25,49;1045,11;02/25/2023;19:44;cartão de crédito;1019,62;0,00;1019,62;8,0
253;290-68-2984;A;Porto Alegre;Normal;Masculino;Saúde e beleza;518,65;6;25,93;3137,83;01/17/2023;11:22;pix;3111,90;0,00;3111,90;7,9
254;704-11-6354;A;Porto Alegre;Membro;Feminino;Esportes e viagens;746,44;1;37,32;783,76;07/29/2023;11:23;cartão de crédito;746,44;0,00;746,44;9,9
255;110-48-7033;B;Florianopolis;Normal;Masculino;Alimentos e bebidas;344,02;4;17,20;1393,28;03/20/2023;14:12;dinheiro;1376,08;0,00;1376,08;5,1
256;366-93-0948;A;Porto Alegre;Normal;Masculino;Casa e estilo de vida;979,81;2;48,99;2008,61;02/01/2023;10:46;dinheiro;1959,62;0,00;1959,62;6,5
257;729-09-9681;A;Curitiba;Membro;Masculino;Casa e estilo de vida;773,78;8;38,69;6228,93;09/15/2023;10:16;dinheiro;6190,24;0,00;6190,24;6,2
258;151-16-1484;A;Porto Alegre;Membro;Feminino;Saúde e beleza;449,19;3;22,46;1370,03;05/29/2023;12:38;cartão de crédito;1347,57;0,00;1347,57;8,0
259;380-94-4661;C;Porto Alegre;Membro;Feminino;Saúde e beleza;386,52;4;19,33;1565,41;03/31/2023;13:05;cartão de crédito;1546,08;0,00;1546,08;5,2
260;850-41-9669;A;Porto Alegre;Normal;Feminino;Esportes e viagens;606,39;2;30,32;1243,10;08/26/2023;13:25;pix;1212,78;0,00;1212,78;8,8
261;821-07-3596;C;Florianopolis;Normal;Feminino;Alimentos e bebidas;299,45;9;14,97;2710,02;04/04/2023;14:53;cartão de crédito;2695,05;0,00;2695,05;10,0
262;655-85-5130;B;Florianopolis;Normal;Masculino;Saúde e beleza;386,76;2;19,34;792,86;01/04/2023;19:22;cartão de crédito;773,52;0,00;773,52;8,6
263;447-15-7839;A;Porto Alegre;Membro;Masculino;Casa e estilo de vida;925,86;4;46,29;3749,73;04/14/2023;11:00;pix;3703,44;0,00;3703,44;9,8
264;154-74-7179;B;Porto Alegre;Membro;Masculino;Casa e estilo de vida;740,22;6;37,01;4478,33;12/01/2023;19:24;pix;4441,32;0,00;4441,32;5,9
265;253-12-6086;A;Florianopolis;Membro;Feminino;Acessórios eletrônicos;521,77;3;26,09;1591,40;04/30/2023;12:43;cartão de crédito;1565,31;0,00;1565,31;9,3
266;808-65-0703;C;Curitiba;Membro;Feminino;Acessórios eletrônicos;985,63;9;49,28;8919,95;07/11/2023;17:22;dinheiro;8870,67;0,00;8870,67;7,0
267;571-94-0759;B;Florianopolis;Membro;Masculino;Alimentos e bebidas;993,97;6;49,70;6013,52;07/07/2023;20:55;pix;5963,82;0,00;5963,82;9,9
268;144-51-6085;A;Porto Alegre;Membro;Masculino;Saúde e beleza;978,03;9;48,90;8851,17;10/12/2023;16:05;pix;8802,27;0,00;8802,27;9,2
269;731-14-2199;A;Curitiba;Membro;Feminino;Casa e estilo de vida;876,52;7;43,83;6179,47;01/29/2023;13:34;dinheiro;6135,64;0,00;6135,64;7,6
270;783-09-1637;B;Porto Alegre;Membro;Masculino;Alimentos e bebidas;270,27;7;13,51;1905,40;05/29/2023;18:13;pix;1891,89;0,00;1891,89;6,7
271;687-15-1097;C;Curitiba;Normal;Feminino;Saúde e beleza;889,01;8;44,45;7156,53;12/29/2023;19:17;pix;7112,08;0,00;7112,08;5,1
272;126-54-1082;A;Florianopolis;Membro;Feminino;Esportes e viagens;568,49;7;28,42;4007,85;03/10/2023;11:44;cartão de crédito;3979,43;0,00;3979,43;5,3
273;633-91-1052;A;Porto Alegre;Membro;Feminino;Esportes e viagens;98,86;5;4,94;499,24;07/06/2023;15:51;cartão de crédito;494,30;0,00;494,30;7,1
274;477-24-6490;B;Curitiba;Normal;Masculino;Acessórios eletrônicos;620,03;1;31,00;651,03;07/20/2023;16:52;pix;620,03;0,00;620,03;7,7
275;566-19-5475;B;Curitiba;Normal;Masculino;Casa e estilo de vida;609,27;7;30,46;4295,35;08/01/2023;20:52;dinheiro;4264,89;0,00;4264,89;9,5
276;526-86-8552;C;Curitiba;Normal;Masculino;Saúde e beleza;514,99;1;25,75;540,74;07/13/2023;17:36;dinheiro;514,99;0,00;514,99;5,1
277;376-56-3573;C;Curitiba;Membro;Masculino;Casa e estilo de vida;51,02;6;2,55;308,67;06/26/2023;13:23;dinheiro;306,12;0,00;306,12;6,4
278;537-72-0426;C;Porto Alegre;Membro;Masculino;Acessórios eletrônicos;12,77;9;0,64;115,57;03/21/2023;16:28;cartão de crédito;114,93;0,00;114,93;8,8
279;828-61-5674;A;Porto Alegre;Membro;Feminino;Esportes e viagens;884,72;2;44,24;1813,68;04/28/2023;19:57;cartão de crédito;1769,44;0,00;1769,44;5,4
280;136-08-6195;A;Florianopolis;Normal;Masculino;Acessórios eletrônicos;75,82;10;3,79;761,99;02/04/2023;17:01;pix;758,20;0,00;758,20;7,9
281;523-38-0215;C;Curitiba;Membro;Feminino;Acessórios eletrônicos;446,37;7;22,32;3146,91;04/30/2023;13:29;cartão de crédito;3124,59;0,00;3124,59;8,5
282;490-29-1201;A;Florianopolis;Normal;Feminino;Acessórios eletrônicos;67,24;7;3,36;474,04;10/25/2023;11:09;dinheiro;470,68;0,00;470,68;5,6
283;667-92-0055;A;Porto Alegre;Membro;Masculino;Casa e estilo de vida;760,21;2;38,01;1558,43;01/29/2023;15:02;dinheiro;1520,42;0,00;1520,42;5,2
284;565-17-3836;A;Florianopolis;Membro;Feminino;Alimentos e bebidas;414,10;2;20,71;848,91;08/19/2023;14:21;dinheiro;828,20;0,00;828,20;7,6
285;498-41-1961;B;Florianopolis;Membro;Masculino;Saúde e beleza;961,04;8;48,05;7736,37;02/05/2023;18:01;dinheiro;7688,32;0,00;7688,32;7,4
286;593-95-4461;C;Florianopolis;Membro;Feminino;Saúde e beleza;251,10;10;12,55;2523,55;03/17/2023;14:49;pix;2511,00;0,00;2511,00;8,5
287;226-71-3580;C;Curitiba;Normal;Masculino;Saúde e beleza;210,95;7;10,55;1487,20;02/25/2023;12:02;pix;1476,65;0,00;1476,65;7,7
288;283-79-9594;B;Curitiba;Membro;Masculino;Acessórios eletrônicos;420,26;3;21,01;1281,79;11/20/2023;13:30;pix;1260,78;0,00;1260,78;6,3
289;430-60-3493;A;Porto Alegre;Membro;Masculino;Esportes e viagens;679,50;3;33,98;2072,48;09/24/2023;14:38;dinheiro;2038,50;0,00;2038,50;9,9
290;139-20-0155;B;Porto Alegre;Membro;Masculino;Casa e estilo de vida;278,31;7;13,92;1962,09;06/02/2023;17:37;pix;1948,17;0,00;1948,17;5,9
291;558-80-4082;C;Curitiba;Normal;Masculino;Casa e estilo de vida;635,38;2;31,77;1302,53;03/01/2023;17:20;pix;1270,76;0,00;1270,76;7,1
292;278-97-7759;A;Florianopolis;Membro;Feminino;Acessórios eletrônicos;916,87;9;45,84;8297,67;09/02/2023;20:29;dinheiro;8251,83;0,00;8251,83;5,9
293;316-68-6352;A;Curitiba;Membro;Masculino;Acessórios eletrônicos;223,27;8;11,16;1797,32;07/22/2023;10:00;cartão de crédito;1786,16;0,00;1786,16;8,6
294;585-03-5943;B;Florianopolis;Normal;Masculino;Acessórios eletrônicos;673,67;2;33,68;1381,02;08/14/2023;11:46;cartão de crédito;1347,34;0,00;1347,34;5,2
295;211-05-0490;C;Porto Alegre;Membro;Feminino;Saúde e beleza;458,65;2;22,93;940,23;12/15/2023;13:42;dinheiro;917,30;0,00;917,30;7,0
296;727-75-6477;C;Porto Alegre;Membro;Masculino;Saúde e beleza;646,90;3;32,34;1973,04;09/04/2023;14:44;pix;1940,70;0,00;1940,70;9,8
297;744-02-5987;A;Florianopolis;Membro;Masculino;Casa e estilo de vida;537,89;8;26,89;4330,01;07/16/2023;14:16;dinheiro;4303,12;0,00;4303,12;9,5
298;307-83-9164;A;Porto Alegre;Membro;Masculino;Casa e estilo de vida;729,66;7;36,48;5144,10;10/22/2023;15:54;cartão de crédito;5107,62;0,00;5107,62;5,7
299;779-06-0012;C;Porto Alegre;Normal;Feminino;Casa e estilo de vida;219,38;4;10,97;888,49;07/08/2023;10:21;pix;877,52;0,00;877,52;6,2
300;446-47-6729;C;Porto Alegre;Normal;Masculino;Alimentos e bebidas;664,46;8;33,22;5348,90;06/14/2023;18:09;pix;5315,68;0,00;5315,68;9,1
301;573-10-3877;B;Curitiba;Normal;Masculino;Saúde e beleza;522,30;6;26,11;3159,91;07/17/2023;16:46;dinheiro;3133,80;0,00;3133,80;5,5
302;735-06-4124;C;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;742,41;7;37,12;5233,99;02/20/2023;15:31;cartão de crédito;5196,87;0,00;5196,87;8,2
303;439-54-7422;A;Curitiba;Normal;Masculino;Casa e estilo de vida;356,60;8;17,83;2870,63;02/28/2023;17:15;cartão de crédito;2852,80;0,00;2852,80;6,4
304;396-90-2219;B;Florianopolis;Membro;Masculino;Alimentos e bebidas;15,01;9;0,75;135,84;10/15/2023;12:29;dinheiro;135,09;0,00;135,09;8,2
305;411-77-0180;A;Porto Alegre;Membro;Feminino;Acessórios eletrônicos;39,98;1;2,00;41,98;08/01/2023;20:14;cartão de crédito;39,98;0,00;39,98;5,7
306;286-01-5402;A;Porto Alegre;Membro;Masculino;Esportes e viagens;353,83;1;17,69;371,52;04/08/2023;13:22;cartão de crédito;353,83;0,00;353,83;6,3
307;803-17-8013;A;Curitiba;Normal;Masculino;Casa e estilo de vida;977,96;3;48,90;2982,78;09/03/2023;17:09;dinheiro;2933,88;0,00;2933,88;6,2
308;512-98-1403;A;Porto Alegre;Membro;Masculino;Alimentos e bebidas;233,48;4;11,67;945,59;09/23/2023;10:40;cartão de crédito;933,92;0,00;933,92;7,4
309;848-42-2560;A;Curitiba;Membro;Masculino;Saúde e beleza;584,94;4;29,25;2369,01;01/20/2023;17:43;pix;2339,76;0,00;2339,76;6,0
310;532-59-7201;B;Curitiba;Membro;Masculino;Saúde e beleza;574,36;10;28,72;5772,32;02/02/2023;14:04;dinheiro;5743,60;0,00;5743,60;8,3
311;181-94-6432;C;Curitiba;Membro;Masculino;Casa e estilo de vida;150,48;10;7,52;1512,32;12/10/2023;19:05;pix;1504,80;0,00;1504,80;9,0
312;870-76-1733;A;Curitiba;Membro;Feminino;Saúde e beleza;912,07;6;45,60;5518,02;01/31/2023;10:08;cartão de crédito;5472,42;0,00;5472,42;7,7
313;423-64-4619;A;Curitiba;Normal;Masculino;Casa e estilo de vida;150,26;2;7,51;308,03;04/10/2023;13:12;cartão de crédito;300,52;0,00;300,52;5,9
314;227-07-4446;C;Florianopolis;Membro;Feminino;Saúde e beleza;579,70;6;28,99;3507,19;08/15/2023;20:51;pix;3478,20;0,00;3478,20;9,4
315;174-36-3675;C;Curitiba;Membro;Feminino;Casa e estilo de vida;406,29;8;20,31;3270,63;06/26/2023;17:29;pix;3250,32;0,00;3250,32;7,9
316;428-83-5800;C;Porto Alegre;Normal;Masculino;Acessórios eletrônicos;234,51;10;11,73;2356,83;09/22/2023;10:25;dinheiro;2345,10;0,00;2345,10;9,7
317;603-07-0961;C;Porto Alegre;Membro;Masculino;Esportes e viagens;96,55;3;4,83;294,48;02/01/2023;11:34;cartão de crédito;289,65;0,00;289,65;6,0
318;704-20-4138;C;Curitiba;Normal;Feminino;Casa e estilo de vida;101,26;4;5,06;410,10;06/13/2023;18:58;cartão de crédito;405,04;0,00;405,04;8,1
319;787-15-1757;C;Florianopolis;Membro;Feminino;Saúde e beleza;233,04;1;11,65;244,69;06/20/2023;16:28;cartão de crédito;233,04;0,00;233,04;6,7
320;649-11-3678;C;Florianopolis;Membro;Masculino;Casa e estilo de vida;13,40;10;0,67;134,67;02/16/2023;20:26;cartão de crédito;134,00;0,00;134,00;6,2
